record_id,equipment_type,location,complaint,symptom,likely_cause,recommended_fix,estimated_cost_inr,estimated_time_hours,urgency,status,technician_feedback
MR-0221,Access Control System,Block D,Access Control System in Block D has card reader not working,Card reader not working,Reader power failure,Check reader power supply and wiring,1000.0,1.5,High,Resolved,Confirmed
MR-0222,Access Control System,Hostel A,Access Control System at Hostel A is reporting door not unlocking,Door not unlocking,Lock actuator fault,Inspect and replace lock actuator,2200.0,2.0,High,Resolved,Confirmed
MR-0223,Access Control System,Block B,Access Control System in Block B shows fingerprint not recognized,Fingerprint not recognized,Sensor contamination,Clean fingerprint sensor and recalibrate,600.0,1.0,Medium,Resolved,Confirmed
MR-0224,Access Control System,Laboratory,Access Control System at Laboratory has a complaint of system offline,System offline,Controller network failure,Check controller network connection,1200.0,1.5,High,Resolved,Confirmed
MR-0225,Access Control System,Auditorium,Access Control System in Auditorium has card reader not working,Card reader not working,Reader power failure,Check reader power supply and wiring,1000.0,1.5,High,Resolved,Confirmed
MR-0226,Access Control System,Block D,Access Control System at Block D is reporting door not unlocking,Door not unlocking,Lock actuator fault,Inspect and replace lock actuator,2200.0,2.0,High,Resolved,Confirmed
MR-0227,Access Control System,Hostel A,Access Control System in Hostel A shows fingerprint not recognized,Fingerprint not recognized,Sensor contamination,Clean fingerprint sensor and recalibrate,600.0,1.0,Medium,Resolved,Confirmed
MR-0228,Access Control System,Block B,Access Control System at Block B has a complaint of system offline,System offline,Controller network failure,Check controller network connection,1200.0,1.5,High,Resolved,Confirmed
MR-0229,Access Control System,Laboratory,Access Control System in Laboratory has card reader not working,Card reader not working,Reader power failure,Check reader power supply and wiring,1000.0,1.5,High,Resolved,Confirmed
MR-0230,Access Control System,Auditorium,Access Control System at Auditorium is reporting door not unlocking,Door not unlocking,Lock actuator fault,Inspect and replace lock actuator,2200.0,2.0,High,Resolved,Confirmed
MR-0231,Access Control System,Block D,Access Control System in Block D shows fingerprint not recognized,Fingerprint not recognized,Sensor contamination,Clean fingerprint sensor and recalibrate,600.0,1.0,Medium,Resolved,Confirmed
MR-0232,Access Control System,Hostel A,Access Control System at Hostel A has a complaint of system offline,System offline,Controller network failure,Check controller network connection,1200.0,1.5,High,Resolved,Confirmed
MR-0233,Access Control System,Block B,Access Control System in Block B has card reader not working,Card reader not working,Reader power failure,Check reader power supply and wiring,1000.0,1.5,High,Resolved,Confirmed
MR-0234,Access Control System,Laboratory,Access Control System at Laboratory is reporting door not unlocking,Door not unlocking,Lock actuator fault,Inspect and replace lock actuator,2200.0,2.0,High,Resolved,Confirmed
MR-0235,Access Control System,Auditorium,Access Control System in Auditorium shows fingerprint not recognized,Fingerprint not recognized,Sensor contamination,Clean fingerprint sensor and recalibrate,600.0,1.0,Medium,Resolved,Confirmed
MR-0236,Access Control System,Block D,Access Control System at Block D has a complaint of system offline,System offline,Controller network failure,Check controller network connection,1200.0,1.5,High,Resolved,Confirmed
MR-0237,Access Control System,Hostel A,Access Control System in Hostel A has card reader not working,Card reader not working,Reader power failure,Check reader power supply and wiring,1000.0,1.5,High,Resolved,Confirmed
MR-0238,Access Control System,Block B,Access Control System at Block B is reporting door not unlocking,Door not unlocking,Lock actuator fault,Inspect and replace lock actuator,2200.0,2.0,High,Resolved,Confirmed
